# 意识形态安全敏感关键词列表
# 格式: 关键词,权重(0-1)

# 中文政治类敏感词
西方民主,0.85
普世价值,0.8
言论自由,0.7
自由选举,0.8
三权分立,0.8
宪政民主,0.85
公民社会,0.7
人权保障,0.7
政体对比,0.85
新闻自由,0.75
民主化,0.8
政治改革,0.8
权力制衡,0.75
司法独立,0.75
多党制,0.8
选举制度,0.75
直接民主,0.75
集权批判,0.85
政治自由,0.8
思想开放,0.7
自由主义,0.75
美式民主,0.8
欧洲政体,0.7

# English Political Sensitive Words
western democracy,0.85
universal values,0.8
freedom of speech,0.7
free elections,0.8
separation of powers,0.8
constitutional democracy,0.85
civil society,0.7
human rights protection,0.7
liberal democracy,0.85
democratic transition,0.8
political reform,0.8
democratic values,0.8
checks and balances,0.75
judicial independence,0.75
multi-party system,0.8
electoral system,0.75
direct democracy,0.75
authoritarianism criticism,0.85
political freedom,0.8
open ideology,0.7
liberalism,0.8
american democracy,0.8
european governance,0.7
power abuse,0.8
political dissidents,0.85
governance comparison,0.85
regime criticism,0.85

# 历史敏感事件
文化大革命,0.8
六四事件,0.95
天安门事件,0.95
上山下乡,0.6
反右运动,0.8
大跃进,0.75
三年困难时期,0.75
历史虚无主义,0.85
历史翻案,0.85
历史白皮书,0.7
平反历史,0.8
历史真相,0.75
党史批判,0.85
历史争议,0.7

# English Historical Sensitive Events
cultural revolution,0.8
tiananmen square incident,0.95
tiananmen protest,0.95
june fourth,0.95
1989 protests,0.95
tiananmen massacre,0.95
tank man,0.95
rusticated youth,0.6
anti-rightist movement,0.8
great leap forward,0.75
three years of hardship,0.75
historical nihilism,0.85
historical revisionism,0.85
historical whitepaper,0.7
historical justice,0.8
historical truth,0.75
party history criticism,0.85
historical controversies,0.7
historical records,0.7
historical censorship,0.8
collective memory,0.7

# 宗教类
宗教信仰自由,0.75
宗教优越性,0.85
传教活动,0.8
极端宗教思想,0.9
宗教压制,0.85
宗教审查,0.85
宗教迫害,0.85
法轮功,0.95
境外宗教势力,0.85
